flow_id,origin_facility_id,dest_facility_id,origin_state,destination_state,origin_lat,origin_lng,dest_lat,dest_lng,material_type,tonnage,transport_cost_per_ton,distance_miles,transport_mode,value_M
FL001,F001,F009,CA,CA,35.478,-115.533,34.899,-117.017,ore_concentrate,4500,28,140,truck,8.2
FL002,F001,F002,CA,NV,35.478,-115.533,39.529,-119.814,ore_concentrate,3800,45,380,truck,6.8
FL003,F015,F009,AZ,CA,35.189,-114.053,34.899,-117.017,ore_concentrate,2800,38,260,truck,5.4
FL004,F009,F033,CA,MI,34.899,-117.017,42.281,-83.749,processed_material,2800,120,2100,rail,12.6
FL005,F009,F034,CA,CA,34.899,-117.017,33.830,-116.545,processed_material,1800,22,85,truck,4.2
FL006,F003,F012,WY,ID,42.866,-106.313,43.615,-116.202,ore_concentrate,2200,55,520,truck,4.8
FL007,F003,F017,WY,TX,42.866,-106.313,31.997,-102.077,ore_concentrate,3200,82,1200,rail,9.8
FL008,F011,F002,MT,NV,45.783,-108.502,39.529,-119.814,ore_concentrate,1800,72,850,rail,5.2
FL009,F011,F012,MT,ID,45.783,-108.502,43.615,-116.202,ore_concentrate,1500,48,420,truck,3.4
FL010,F020,F002,UT,NV,38.573,-109.549,39.529,-119.814,ore_concentrate,2200,52,480,truck,5.8
FL011,F018,F021,CO,NM,38.546,-106.925,35.084,-106.651,ore_concentrate,1600,42,340,truck,3.6
FL012,F018,F017,CO,TX,38.546,-106.925,31.997,-102.077,ore_concentrate,1900,68,680,truck,5.2
FL013,F032,F024,MO,IL,37.951,-91.771,40.510,-88.990,ore_concentrate,1200,44,260,truck,3.0
FL014,F023,F022,FL,GA,28.039,-81.950,32.081,-81.091,ore_concentrate,1100,52,380,truck,2.8
FL015,F002,F034,NV,CA,39.529,-119.814,33.830,-116.545,processed_material,3200,62,420,truck,7.4
FL016,F002,F017,NV,TX,39.529,-119.814,31.997,-102.077,processed_material,2100,88,1200,rail,6.8
FL017,F012,F009,ID,CA,43.615,-116.202,34.899,-117.017,processed_material,1600,65,720,truck,4.8
FL018,F017,F016,TX,TX,31.997,-102.077,27.800,-97.396,processed_material,2400,42,360,truck,5.6
FL019,F017,F010,TX,TX,31.997,-102.077,29.760,-95.369,processed_material,1800,38,480,truck,4.2
FL020,F021,F017,NM,TX,35.084,-106.651,31.997,-102.077,processed_material,1400,48,380,truck,3.4
FL021,F033,F007,MI,MI,42.281,-83.749,42.378,-83.098,processed_material,3600,12,42,truck,8.4
FL022,F033,F008,MI,MI,42.281,-83.749,42.798,-84.578,processed_material,2800,14,58,truck,6.8
FL023,F025,F029,NC,SC,35.227,-80.843,34.852,-82.394,processed_material,900,32,120,truck,2.4
FL024,F030,F025,VA,NC,37.541,-77.436,35.227,-80.843,processed_material,1200,38,220,truck,3.2
FL025,F004,F033,MI,MI,42.331,-83.046,42.281,-83.749,recycled_material,2400,8,28,truck,4.2
FL026,F005,F008,MI,MI,42.732,-84.556,42.798,-84.578,recycled_material,1800,6,12,truck,3.2
FL027,F006,F007,MI,MI,42.963,-85.670,42.378,-83.098,recycled_material,1400,18,150,truck,2.8
FL028,F013,F027,OH,IN,39.961,-82.999,40.486,-86.133,recycled_material,2200,38,180,truck,4.2
FL029,F013,F033,OH,MI,39.961,-82.999,42.281,-83.749,recycled_material,1100,36,170,truck,2.8
FL030,F014,F033,PA,MI,40.440,-79.996,42.281,-83.749,recycled_material,1600,52,280,truck,3.8
FL031,F010,F016,TX,TX,29.760,-95.369,27.800,-97.396,recycled_material,2000,28,200,truck,3.6
FL032,F019,F026,WA,MN,47.253,-122.444,44.977,-93.265,recycled_material,800,88,1600,rail,2.8
FL033,F028,F014,NY,PA,43.048,-76.147,40.440,-79.996,recycled_material,1200,42,310,truck,2.6
FL034,F031,F022,TN,GA,35.960,-83.921,32.081,-81.091,recycled_material,800,48,280,truck,2.2
FL035,F022,F025,GA,NC,32.081,-81.091,35.227,-80.843,recycled_material,700,38,260,truck,1.8
FL036,F029,F030,SC,VA,34.852,-82.394,37.541,-77.436,recycled_material,600,42,300,truck,1.6
FL037,F026,F024,MN,IL,44.977,-93.265,40.510,-88.990,recycled_material,900,52,400,truck,2.4
FL038,F035,F002,NV,NV,36.169,-115.140,39.529,-119.814,recycled_material,1200,35,280,truck,2.2
FL039,F009,F024,CA,IL,34.899,-117.017,40.510,-88.990,processed_material,2200,115,1800,rail,8.4
FL040,F012,F019,ID,WA,43.615,-116.202,47.253,-122.444,processed_material,1000,58,480,truck,3.0
FL041,F017,F036,TX,TX,31.997,-102.077,30.267,-97.743,processed_material,1800,32,290,truck,5.4
FL042,F021,F037,NM,AZ,35.084,-106.651,33.303,-111.841,processed_material,1400,42,380,truck,4.2
FL043,F021,F038,NM,AZ,35.084,-106.651,33.448,-112.074,processed_material,1600,44,400,truck,4.8
FL044,F012,F050,ID,ID,43.615,-116.202,43.618,-116.215,processed_material,1200,15,30,truck,3.6
FL045,F009,F053,CA,CA,34.899,-117.017,32.716,-117.161,processed_material,1500,28,240,truck,4.5
FL046,F021,F039,NM,AZ,35.084,-106.651,32.222,-110.975,processed_material,2200,40,360,truck,6.6
FL047,F025,F040,NC,FL,35.227,-80.843,28.538,-81.379,processed_material,1800,62,550,rail,5.4
FL048,F009,F047,CA,CA,34.899,-117.017,34.579,-118.117,processed_material,2000,18,100,truck,6.0
FL049,F030,F051,VA,NH,37.541,-77.436,42.766,-71.468,processed_material,1600,58,520,rail,4.8
FL050,F030,F041,VA,NY,37.541,-77.436,42.814,-73.940,processed_material,1400,52,440,truck,4.2
FL051,F002,F048,NV,CO,39.529,-119.814,39.987,-104.820,processed_material,1800,68,680,rail,5.4
FL052,F017,F049,TX,KS,31.997,-102.077,38.940,-94.968,processed_material,2000,72,780,rail,6.0
FL053,F002,F043,NV,NV,39.529,-119.814,39.538,-119.743,processed_material,2400,15,35,truck,7.2
FL054,F004,F052,MI,OH,42.331,-83.046,41.621,-83.713,recycled_material,1600,18,60,truck,4.8
FL055,F009,F042,CA,CA,34.899,-117.017,37.323,-122.032,processed_material,1200,52,380,truck,3.6
FL056,F030,F044,VA,PA,37.541,-77.436,40.036,-75.514,processed_material,900,32,200,truck,2.7
FL057,F033,F054,MI,WI,42.281,-83.749,43.012,-88.231,processed_material,800,38,280,truck,2.4
FL058,F028,F045,NY,NY,43.048,-76.147,42.143,-77.055,processed_material,1000,22,110,truck,3.0
FL059,F010,F046,TX,TX,29.760,-95.369,29.691,-95.209,recycled_material,2200,15,40,truck,5.3
FL060,F013,F055,OH,IN,39.961,-82.999,39.165,-86.526,processed_material,1100,36,200,truck,3.3
FL061,F014,F041,PA,NY,40.440,-79.996,42.814,-73.940,recycled_material,800,42,380,truck,2.4
FL062,F013,F052,OH,OH,39.961,-82.999,41.621,-83.713,recycled_material,1400,22,120,truck,4.2
FL063,F028,F051,NY,NH,43.048,-76.147,42.766,-71.468,recycled_material,600,38,320,truck,1.8
FL064,F010,F036,TX,TX,29.760,-95.369,30.267,-97.743,recycled_material,900,22,160,truck,2.7
FL065,F017,F046,TX,TX,31.997,-102.077,29.691,-95.209,processed_material,1800,52,480,truck,4.3
FL066,F014,F044,PA,PA,40.440,-79.996,40.036,-75.514,recycled_material,700,38,280,truck,2.1
FL067,F019,F050,WA,ID,47.253,-122.444,43.618,-116.215,recycled_material,500,52,490,truck,1.5
FL068,F025,F055,NC,IN,35.227,-80.843,39.165,-86.526,processed_material,900,58,520,rail,2.7
FL069,F004,F049,MI,KS,42.331,-83.046,38.940,-94.968,recycled_material,1200,72,700,rail,3.6
FL070,F033,F048,MI,CO,42.281,-83.749,39.987,-104.820,processed_material,1000,82,1150,rail,3.0
FL071,F007,F004,MI,MI,42.378,-83.098,42.331,-83.046,scrap_return,800,8,12,truck,1.4
FL072,F008,F005,MI,MI,42.798,-84.578,42.732,-84.556,scrap_return,600,6,8,truck,1.1
FL073,F043,F035,NV,NV,39.538,-119.743,36.169,-115.140,scrap_return,900,35,280,truck,1.6
FL074,F036,F010,TX,TX,30.267,-97.743,29.760,-95.369,scrap_return,700,22,160,truck,1.2
FL075,F037,F035,AZ,NV,33.303,-111.841,36.169,-115.140,scrap_return,500,48,380,truck,0.9
FL076,F042,F019,CA,WA,37.323,-122.032,47.253,-122.444,scrap_return,650,62,800,rail,1.2
FL077,F024,F013,IL,OH,40.510,-88.990,39.961,-82.999,scrap_return,750,38,180,truck,1.3
FL078,F027,F013,IN,OH,40.486,-86.133,39.961,-82.999,scrap_return,600,38,180,truck,1.1
FL079,F041,F028,NY,NY,42.814,-73.940,43.048,-76.147,scrap_return,450,22,110,truck,0.8
FL080,F040,F031,FL,TN,28.538,-81.379,35.960,-83.921,scrap_return,550,48,480,rail,1.0
FL081,F016,F010,TX,TX,27.800,-97.396,29.760,-95.369,scrap_return,800,28,200,truck,1.4
FL082,F052,F013,OH,OH,41.621,-83.713,39.961,-82.999,scrap_return,500,22,120,truck,0.9
FL083,F044,F014,PA,PA,40.036,-75.514,40.440,-79.996,scrap_return,400,38,280,truck,0.7
FL084,F045,F028,NY,NY,42.143,-77.055,43.048,-76.147,scrap_return,350,22,110,truck,0.6
FL085,F046,F010,TX,TX,29.691,-95.209,29.760,-95.369,scrap_return,600,8,10,truck,1.1
FL086,F048,F026,CO,MN,39.987,-104.820,44.977,-93.265,scrap_return,400,68,820,rail,0.7
FL087,F049,F026,KS,MN,38.940,-94.968,44.977,-93.265,scrap_return,500,52,440,rail,0.9
FL088,F034,F035,CA,NV,33.830,-116.545,36.169,-115.140,scrap_return,550,32,240,truck,1.0
FL089,F038,F022,AZ,GA,33.448,-112.074,32.081,-81.091,scrap_return,700,88,1600,rail,1.3
FL090,F051,F028,NH,NY,42.766,-71.468,43.048,-76.147,scrap_return,300,38,320,truck,0.5
FL091,F054,F005,WI,MI,43.012,-88.231,42.732,-84.556,scrap_return,450,38,280,truck,0.8
FL092,F055,F029,IN,SC,39.165,-86.526,34.852,-82.394,scrap_return,350,52,420,rail,0.6
FL093,F039,F022,AZ,GA,32.222,-110.975,32.081,-81.091,scrap_return,600,82,1500,rail,1.1
FL094,F050,F019,ID,WA,43.618,-116.215,47.253,-122.444,scrap_return,400,52,490,truck,0.7
FL095,F047,F035,CA,NV,34.579,-118.117,36.169,-115.140,scrap_return,500,42,320,truck,0.9
FL096,F053,F019,CA,WA,32.716,-117.161,47.253,-122.444,scrap_return,450,72,1200,rail,0.8
