state,year,e_waste_tons,industrial_scrap_tons,magnet_reuse_tons,local_ev_production_tons,local_supply_tons,recycling_capacity_tons,total_demand_tons,import_tons
MI,2019,1200,800,400,3200,2400,3800,8200,4800
MI,2020,1380,920,472,3712,2736,3990,8528,4656
MI,2021,1587,1058,557,4306,3119,4190,8869,4516
MI,2022,1825,1217,657,4995,3556,4399,9224,4381
MI,2023,2099,1399,776,5794,4054,4619,9593,4249
MI,2024,2414,1609,915,6721,4621,4850,9977,4122
MI,2025,2776,1850,1080,7796,5268,5092,10376,3998
MI,2026,3192,2128,1274,9044,6005,5347,10791,3878
CA,2019,1800,1200,600,4800,3600,5200,7200,3200
CA,2020,2070,1380,708,5568,4104,5460,7488,3104
CA,2021,2380,1587,835,6459,4679,5733,7788,3011
CA,2022,2738,1825,986,7492,5334,6020,8099,2921
CA,2023,3148,2099,1163,8691,6080,6321,8423,2833
CA,2024,3620,2414,1373,10082,6931,6637,8760,2748
CA,2025,4164,2776,1620,11695,7902,6968,9110,2666
CA,2026,4788,3192,1911,13566,9008,7317,9475,2586
TX,2019,1400,950,480,3600,2830,4200,7800,4400
TX,2020,1610,1093,566,4176,3226,4410,8112,4268
TX,2021,1851,1256,668,4844,3678,4631,8436,4140
TX,2022,2129,1445,789,5619,4193,4862,8774,4016
TX,2023,2449,1662,931,6518,4780,5105,9125,3895
TX,2024,2816,1911,1098,7561,5449,5360,9490,3778
TX,2025,3238,2197,1296,8771,6212,5628,9869,3665
TX,2026,3724,2527,1529,10174,7081,5910,10264,3555
OH,2019,800,520,260,2400,1580,2800,5200,3400
OH,2020,920,598,307,2784,1801,2940,5408,3298
OH,2021,1058,688,362,3229,2053,3087,5624,3199
OH,2022,1217,791,427,3746,2341,3241,5849,3103
OH,2023,1399,909,504,4346,2669,3403,6083,3010
OH,2024,1609,1046,595,5041,3042,3574,6327,2920
OH,2025,1850,1203,702,5847,3468,3752,6580,2832
OH,2026,2128,1383,828,6783,3954,3940,6843,2747
NV,2019,600,400,200,1200,1200,2600,3200,1800
NV,2020,690,460,236,1392,1368,2730,3328,1746
NV,2021,793,529,278,1615,1560,2867,3461,1694
NV,2022,913,608,329,1873,1778,3010,3600,1643
NV,2023,1049,700,388,2173,2027,3160,3744,1594
NV,2024,1207,805,458,2520,2310,3318,3893,1546
NV,2025,1388,925,540,2924,2634,3484,4049,1499
NV,2026,1596,1064,637,3391,3003,3658,4211,1454
WY,2019,400,260,120,800,780,1800,2400,1400
WY,2020,460,299,142,928,889,1890,2496,1358
WY,2021,529,344,167,1076,1014,1985,2596,1317
WY,2022,608,395,197,1249,1156,2084,2700,1278
WY,2023,700,455,233,1449,1317,2188,2808,1239
WY,2024,805,523,275,1680,1502,2297,2920,1202
WY,2025,925,601,324,1949,1712,2412,3037,1166
WY,2026,1064,692,382,2261,1952,2533,3158,1131
WA,2019,900,600,300,2200,1800,3200,4400,2400
WA,2020,1035,690,354,2552,2052,3360,4576,2328
WA,2021,1190,793,418,2960,2339,3528,4759,2258
WA,2022,1369,913,493,3434,2667,3704,4949,2190
WA,2023,1574,1049,582,3983,3040,3890,5147,2125
WA,2024,1810,1207,686,4621,3466,4084,5353,2061
WA,2025,2082,1388,810,5360,3951,4288,5567,1999
WA,2026,2394,1596,956,6218,4504,4503,5790,1939
PA,2019,700,450,220,2000,1370,2600,4800,3200
PA,2020,805,518,260,2320,1562,2730,4992,3104
PA,2021,926,595,306,2691,1780,2867,5192,3011
PA,2022,1065,684,361,3122,2030,3010,5399,2921
PA,2023,1224,787,427,3621,2314,3160,5615,2833
PA,2024,1408,905,503,4201,2638,3318,5840,2748
PA,2025,1619,1041,594,4873,3007,3484,6074,2666
PA,2026,1862,1197,701,5652,3428,3658,6316,2586
FL,2019,600,380,180,2800,1160,2400,5800,4200
FL,2020,690,437,212,3248,1322,2520,6032,4074
FL,2021,793,503,251,3768,1508,2646,6273,3952
FL,2022,913,578,296,4371,1719,2778,6524,3833
FL,2023,1049,665,349,5070,1959,2917,6785,3718
FL,2024,1207,764,412,5881,2233,3063,7057,3607
FL,2025,1388,879,486,6822,2546,3216,7339,3498
FL,2026,1596,1011,573,7913,2903,3377,7632,3394
AZ,2019,500,340,160,1800,1000,2200,4200,2800
AZ,2020,575,391,189,2088,1140,2310,4368,2716
AZ,2021,661,450,223,2422,1300,2426,4543,2635
AZ,2022,760,517,263,2810,1482,2547,4724,2555
AZ,2023,875,595,310,3259,1689,2674,4913,2479
AZ,2024,1006,684,366,3781,1925,2808,5110,2404
AZ,2025,1157,786,432,4386,2195,2948,5314,2332
AZ,2026,1330,904,510,5087,2502,3096,5527,2262
CO,2019,450,300,140,1600,890,2000,3800,2400
CO,2020,518,345,165,1856,1015,2100,3952,2328
CO,2021,595,397,195,2153,1157,2205,4110,2258
CO,2022,684,456,230,2497,1319,2315,4274,2190
CO,2023,787,525,271,2897,1503,2431,4445,2125
CO,2024,905,603,320,3361,1714,2553,4623,2061
CO,2025,1041,694,378,3898,1954,2680,4808,1999
CO,2026,1197,798,446,4522,2227,2814,5001,1939
MT,2019,350,230,110,600,690,1600,2200,1200
MT,2020,402,265,130,696,787,1680,2288,1164
MT,2021,463,304,153,807,897,1764,2380,1129
MT,2022,532,350,181,937,1022,1852,2475,1095
MT,2023,612,402,213,1086,1165,1945,2574,1062
MT,2024,704,463,252,1260,1329,2042,2677,1030
MT,2025,810,532,297,1462,1515,2144,2784,1000
MT,2026,931,612,350,1696,1727,2251,2895,970
ID,2019,300,200,100,500,600,1400,1800,1000
ID,2020,345,230,118,580,684,1470,1872,970
ID,2021,397,264,139,673,780,1544,1947,941
ID,2022,456,304,164,780,889,1621,2025,913
ID,2023,525,350,194,905,1013,1702,2106,885
ID,2024,603,402,229,1050,1155,1787,2190,859
ID,2025,694,463,270,1218,1317,1876,2278,833
ID,2026,798,532,319,1413,1501,1970,2369,808
IL,2019,700,460,230,2600,1390,2600,5200,3600
IL,2020,805,529,271,3016,1585,2730,5408,3492
IL,2021,926,608,320,3499,1806,2867,5624,3387
IL,2022,1065,700,378,4058,2059,3010,5849,3286
IL,2023,1224,805,446,4708,2348,3160,6083,3187
IL,2024,1408,925,526,5461,2676,3318,6327,3091
IL,2025,1619,1064,621,6335,3051,3484,6580,2999
IL,2026,1862,1224,733,7348,3478,3658,6843,2909
