state_id,state_name,abbr,lat,lng,total_economic_value_M,mining_cost_M,processing_cost_M,env_remediation_cost_M,collection_cost_M,dismantling_cost_M,extraction_cost_M,total_production_tons,total_demand_tons,recycling_capacity_tons,import_dependency_pct,domestic_supply_pct,employment,policy_incentive_score,vulnerability_score,co2_annual_tons,water_usage_mgal,strategic_reserve_tons
CA,California,CA,36.778,-119.417,4200,850,620,310,180,240,190,12000,8500,3200,32,68,4800,8,3,42000,180,2400
TX,Texas,TX,31.968,-99.901,3800,720,580,280,160,210,170,10500,9200,2800,38,62,3900,7,4,38000,160,1800
MI,Michigan,MI,44.314,-85.602,2900,580,440,220,140,185,150,8200,11500,4100,48,52,3200,9,5,28000,120,1200
NV,Nevada,NV,38.802,-116.419,3100,680,510,260,150,200,160,9800,4200,1800,22,78,2800,7,3,35000,210,3200
WY,Wyoming,WY,43.075,-107.290,2600,620,470,230,130,175,140,8900,3100,1400,18,82,2200,6,2,32000,190,2800
MT,Montana,MT,46.879,-110.362,2200,540,410,200,120,160,130,7600,2800,1200,20,80,1800,6,2,28000,170,2400
ID,Idaho,ID,44.068,-114.742,1900,480,360,180,110,145,115,6800,2400,1100,24,76,1500,5,3,24000,150,2000
AZ,Arizona,AZ,34.048,-111.093,2400,560,420,210,125,165,135,7200,5600,1900,35,65,2100,7,4,30000,220,1600
CO,Colorado,CO,39.550,-105.782,2100,500,380,190,115,150,125,7000,4800,1600,30,70,1900,7,3,26000,140,1800
WA,Washington,WA,47.751,-120.740,1800,420,320,160,105,135,110,5900,5200,2100,42,58,1600,8,5,20000,100,1000
OH,Ohio,OH,40.417,-82.907,1600,380,290,145,95,125,100,4800,6800,2400,52,48,1400,6,6,18000,90,800
PA,Pennsylvania,PA,41.203,-77.194,1700,400,305,155,100,130,105,5200,6200,2200,50,50,1500,6,5,19000,95,900
GA,Georgia,GA,32.165,-82.900,1500,360,275,138,90,118,96,4500,5900,1900,55,45,1200,5,6,16000,85,600
FL,Florida,FL,27.664,-81.515,1400,340,260,130,88,112,92,4200,7200,2600,58,42,1100,5,7,15000,80,500
IL,Illinois,IL,40.349,-88.986,1300,310,240,120,82,105,86,3900,6500,2100,54,46,1050,6,6,14000,75,700
NY,New York,NY,42.165,-74.948,1200,290,225,112,78,98,82,3600,7800,2400,62,38,980,7,7,12000,65,400
NC,North Carolina,NC,35.630,-79.806,1100,270,210,105,72,92,76,3400,5400,1700,56,44,920,6,6,11000,60,500
MN,Minnesota,MN,46.392,-94.636,1000,250,195,98,68,88,72,3200,3600,1200,40,60,850,5,4,10500,58,800
IN,Indiana,IN,39.849,-86.258,950,240,185,92,64,82,68,2800,5200,1600,58,42,780,5,6,9800,52,450
UT,Utah,UT,39.321,-111.093,1400,420,320,160,92,120,98,5400,3200,1100,25,75,1200,7,3,18000,140,2200
NM,New Mexico,NM,34.840,-106.248,1100,380,290,145,78,100,82,4600,2400,800,22,78,980,6,3,16000,160,2600
SC,South Carolina,SC,33.836,-81.163,800,220,170,85,58,72,60,2400,4200,1400,60,40,680,5,7,8000,42,350
MO,Missouri,MO,38.573,-92.603,750,210,160,80,55,68,56,2200,3800,1200,56,44,620,4,6,7500,40,400
VA,Virginia,VA,37.431,-78.656,900,240,185,92,62,78,64,2600,4600,1500,54,46,740,6,6,8500,45,450
TN,Tennessee,TN,35.520,-86.580,850,230,175,88,60,75,62,2500,4000,1300,55,45,700,5,6,8200,43,400
