stage,stage_order,input_tons,output_tons,loss_tons,cost_per_ton,value_added_M,year
Mining,1,95000,82000,13000,85,6970,2019
Ore Processing,2,82000,64000,18000,142,9088,2019
Separation,3,64000,48000,16000,210,10080,2019
Manufacturing,4,48000,42000,6000,380,15960,2019
End-Use,5,42000,40000,2000,520,20800,2019
Recycling,6,12000,8400,3600,195,1638,2019
Mining,1,98000,85000,13000,82,6970,2020
Ore Processing,2,85000,67000,18000,138,9246,2020
Separation,3,67000,51000,16000,205,10455,2020
Manufacturing,4,51000,45000,6000,370,16650,2020
End-Use,5,45000,43000,2000,510,21930,2020
Recycling,6,14000,10200,3800,188,1918,2020
Mining,1,102000,89000,13000,80,7120,2021
Ore Processing,2,89000,70000,19000,135,9450,2021
Separation,3,70000,54000,16000,200,10800,2021
Manufacturing,4,54000,48000,6000,362,17376,2021
End-Use,5,48000,46000,2000,500,23000,2021
Recycling,6,16500,12400,4100,180,2232,2021
Mining,1,106000,92000,14000,78,7176,2022
Ore Processing,2,92000,73000,19000,132,9636,2022
Separation,3,73000,57000,16000,196,11172,2022
Manufacturing,4,57000,51000,6000,355,18105,2022
End-Use,5,51000,49000,2000,492,24108,2022
Recycling,6,19000,14600,4400,172,2511,2022
Mining,1,110000,96000,14000,76,7296,2023
Ore Processing,2,96000,77000,19000,128,9856,2023
Separation,3,77000,60000,17000,192,11520,2023
Manufacturing,4,60000,54000,6000,348,18792,2023
End-Use,5,54000,52000,2000,485,25220,2023
Recycling,6,22000,17200,4800,165,2838,2023
Mining,1,114000,100000,14000,74,7400,2024
Ore Processing,2,100000,81000,19000,125,10125,2024
Separation,3,81000,64000,17000,188,12032,2024
Manufacturing,4,64000,58000,6000,340,19720,2024
End-Use,5,58000,56000,2000,478,26768,2024
Recycling,6,25000,20000,5000,158,3160,2024
Mining,1,118000,104000,14000,72,7488,2025
Ore Processing,2,104000,85000,19000,122,10370,2025
Separation,3,85000,68000,17000,184,12512,2025
Manufacturing,4,68000,62000,6000,332,20584,2025
End-Use,5,62000,60000,2000,470,28200,2025
Recycling,6,28000,23000,5000,152,3496,2025
Mining,1,122000,108000,14000,70,7560,2026
Ore Processing,2,108000,89000,19000,119,10591,2026
Separation,3,89000,72000,17000,180,12960,2026
Manufacturing,4,72000,66000,6000,325,21450,2026
End-Use,5,66000,64000,2000,462,29568,2026
Recycling,6,31000,26000,5000,148,3848,2026
